ProcessRoutingId,FinishedItemCode,FinishedPartCode,FinishedItemName,RawItemCode,RawPartCode,RawItemName,SequenceNo,StepName,ProcessShortCode,EstimatedDays,PreferredVendorCode,Notes
PR-0001,4110000100,A-10145,STATIONARY PLATE TOGGLE - 90 TON,4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),1,VMC Heavy Face Milling & Edge Truing,MCH,2,VEN0000002,Rough & finish top/bottom platen face to 0.02mm flat
PR-0002,4110000100,A-10145,STATIONARY PLATE TOGGLE - 90 TON,4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),2,Precision CNC Boring (Tie Bar Bores),BOR,3,VEN0000002,Bore 4x Tie bar holes to H7 tolerance
PR-0003,4110000100,A-10145,STATIONARY PLATE TOGGLE - 90 TON,4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),3,CNC Drilling & Tapping (Mold Mounting PCD),DRL,1,VEN0000002,M16 mold clamp tapped holes as per drawing
PR-0004,4110000100,A-10145,STATIONARY PLATE TOGGLE - 90 TON,4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),4,Stress Relieving & Heat Treatment,HT,2,VEN0000002,Normalize stress at 550°C
PR-0005,4110000100,A-10145,STATIONARY PLATE TOGGLE - 90 TON,4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),5,Surface Grinding & Anti-Rust Coating,GRD,1,VEN0000002,Precision surface grind & rust preventive oil
PR-0006,4110000200,A-10150,MOVING PLATE TOGGLE - 90 TON,4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),1,VMC Heavy Face Milling,MCH,2,VEN0000002,Platen front & toggle rear face machining
PR-0007,4110000200,A-10150,MOVING PLATE TOGGLE - 90 TON,4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),2,CNC Line Boring (Tie Bar & Bush Seats),BOR,3,VEN0000011,Precision line bore for bronze bushings
PR-0008,4110000200,A-10150,MOVING PLATE TOGGLE - 90 TON,4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),3,CNC PCD Drilling & Ejector Hole Boring,DRL,2,VEN0000002,Center hole & pattern drilling
PR-0009,4110000200,A-10150,MOVING PLATE TOGGLE - 90 TON,4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),4,Phosphating & Anti-Rust Treatment,PLT,1,VEN0000007,Surface protection treatment
PR-0010,4110000300,A-10185,END PLATE - 90 TON,4001002300,11203,END PLATE - 90 TON (CASTING),1,VMC Facing & Outer Profile Milling,MCH,2,VEN0000002,Square face and profile sizing
PR-0011,4110000300,A-10185,END PLATE - 90 TON,4001002300,11203,END PLATE - 90 TON (CASTING),2,CNC Tie Bar Bore & Toggle Pivot Boring,BOR,2,,Toggle pin pivot bores to H7
PR-0012,4110000300,A-10185,END PLATE - 90 TON,4001002300,11203,END PLATE - 90 TON (CASTING),3,Die Height Gear Nut Thread Boring,TRN,2,VEN0000001,Buttress thread bore machining
PR-0013,4110000300,A-10185,END PLATE - 90 TON,4001002300,11203,END PLATE - 90 TON (CASTING),4,Surface Grinding & Deburring,GRD,1,VEN0000007,Final grinding
PR-0014,4110000500,A-10180,CROSS HEAD - 90 TON,4001003600,11204,CROSS HEAD - 90 TON (CASTING),1,4-Axis VMC Machining & Facing,MCH,2,VEN0000001,Machining all 4 faces
PR-0015,4110000500,A-10180,CROSS HEAD - 90 TON,4001003600,11204,CROSS HEAD - 90 TON (CASTING),2,Toggle Link Pin Bore Machining,BOR,1,VEN0000011,Twin link pin bores
PR-0016,4110000500,A-10180,CROSS HEAD - 90 TON,4001003600,11204,CROSS HEAD - 90 TON (CASTING),3,Clamping Cylinder Rod Fitment Boring,TRN,1,VEN0000002,Cylinder rod connection bore
PR-0017,4110000500,A-10180,CROSS HEAD - 90 TON,4001003600,11204,CROSS HEAD - 90 TON (CASTING),4,Induction Hardening of Pin Holes,HT,1,VEN0000004,HRC 48-52 on wear areas
PR-0018,4110000600,A-10175,CROSS HEAD LINK - 90 TON,4001004200,11207,CROSS HEAD LINK - 90 TON (CASTING),1,CNC Link Profile Milling,MCH,1,VEN0000005,Contour milling both sides
PR-0019,4110000600,A-10175,CROSS HEAD LINK - 90 TON,4001004200,11207,CROSS HEAD LINK - 90 TON (CASTING),2,Twin Pivot Pin Bore Reaming,BOR,1,VEN0000011,Finish ream pin bores
PR-0020,4110000600,A-10175,CROSS HEAD LINK - 90 TON,4001004200,11207,CROSS HEAD LINK - 90 TON (CASTING),3,Gas Nitriding Heat Treatment,HT,2,"VEN0000004, VEN0000004","Case depth 0.4mm, 55 HRC"
PR-0021,4110000600,A-10175,CROSS HEAD LINK - 90 TON,4001004200,11207,CROSS HEAD LINK - 90 TON (CASTING),4,Pin Bore Honing & Buffing,POL,1,,Mirror finish internal bore
PR-0022,4110000700,A-10155,BINARY LINK - 90 TON,4001004800,11205,BINARY LINK - 90 TON (CASTING),1,VMC Link Face & Edge Milling,MCH,1,,Precision width milling
PR-0023,4110000700,A-10155,BINARY LINK - 90 TON,4001004800,11205,BINARY LINK - 90 TON (CASTING),2,CNC Dual Pin Line Boring,BOR,1,"VEN0000001, VEN0000005",Precision center distance boring
