Finished Part Code,Finished Old Code,Finished Item Name,Raw Casting Part Code,Raw Casting Old Code,Raw Casting Name,Step No,Process Short Code,Process Name,Estimated Days,Vendors,Vendor Names,Remarks
4005000100,,STATIONARY PLATE TOGGLE - 90 TON (PATTERN),4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),1,MCH,VMC Heavy Face Milling & Edge Truing,2,VEN0000002,Apex Precision VMC Machinists,Rough & finish top/bottom platen face to 0.02mm flat
4005000100,,STATIONARY PLATE TOGGLE - 90 TON (PATTERN),4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),2,BOR,Precision CNC Boring (Tie Bar & Bush Bores),3,VEN0000002,Apex Precision VMC Machinists,Bore 4x Tie bar holes to H7 tolerance
4005000100,,STATIONARY PLATE TOGGLE - 90 TON (PATTERN),4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),3,DRL,CNC Drilling & Tapping (PCD Clamp Holes),1,VEN0000002,Apex Precision VMC Machinists,M16 mould clamp tapped holes as per drawing
4005000100,,STATIONARY PLATE TOGGLE - 90 TON (PATTERN),4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),4,HT,Stress Relieving & Normalizing Heat Treatment,2,VEN0000004,Gujarat Heat Treaters & Nitriding,Normalize thermal stress at 550°C
4005000100,,STATIONARY PLATE TOGGLE - 90 TON (PATTERN),4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),5,GRD,Cylindrical & Precision Surface Grinding,1,VEN0000006,Sardar Cylindrical & Surface Grinding,Precision surface grind & rust preventive oil
4005001200,,MOVING PLATE TOGGLE - 90 TON (PATTERN),4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),1,MCH,VMC Heavy Face Milling & Edge Truing,2,VEN0000002,Apex Precision VMC Machinists,Rough & finish top/bottom platen face to 0.02mm flat
4005001200,,MOVING PLATE TOGGLE - 90 TON (PATTERN),4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),2,BOR,Precision CNC Boring (Tie Bar & Bush Bores),3,VEN0000002,Apex Precision VMC Machinists,Bore 4x Tie bar holes to H7 tolerance
4005001200,,MOVING PLATE TOGGLE - 90 TON (PATTERN),4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),3,DRL,CNC Drilling & Tapping (PCD Clamp Holes),1,VEN0000002,Apex Precision VMC Machinists,M16 mould clamp tapped holes as per drawing
4005001200,,MOVING PLATE TOGGLE - 90 TON (PATTERN),4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),4,HT,Stress Relieving & Normalizing Heat Treatment,2,VEN0000004,Gujarat Heat Treaters & Nitriding,Normalize thermal stress at 550°C
4005001200,,MOVING PLATE TOGGLE - 90 TON (PATTERN),4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),5,GRD,Cylindrical & Precision Surface Grinding,1,VEN0000006,Sardar Cylindrical & Surface Grinding,Precision surface grind & rust preventive oil
4005002300,,END PLATE - 90 TON (PATTERN),4001002300,11203,END PLATE - 90 TON (CASTING),1,MCH,VMC Heavy Face Milling & Edge Truing,2,VEN0000002,Apex Precision VMC Machinists,Rough & finish top/bottom platen face to 0.02mm flat
4005002300,,END PLATE - 90 TON (PATTERN),4001002300,11203,END PLATE - 90 TON (CASTING),2,BOR,Precision CNC Boring (Tie Bar & Bush Bores),3,VEN0000002,Apex Precision VMC Machinists,Bore 4x Tie bar holes to H7 tolerance
4005002300,,END PLATE - 90 TON (PATTERN),4001002300,11203,END PLATE - 90 TON (CASTING),3,DRL,CNC Drilling & Tapping (PCD Clamp Holes),1,VEN0000002,Apex Precision VMC Machinists,M16 mould clamp tapped holes as per drawing
4005002300,,END PLATE - 90 TON (PATTERN),4001002300,11203,END PLATE - 90 TON (CASTING),4,HT,Stress Relieving & Normalizing Heat Treatment,2,VEN0000004,Gujarat Heat Treaters & Nitriding,Normalize thermal stress at 550°C
4005002300,,END PLATE - 90 TON (PATTERN),4001002300,11203,END PLATE - 90 TON (CASTING),5,GRD,Cylindrical & Precision Surface Grinding,1,VEN0000006,Sardar Cylindrical & Surface Grinding,Precision surface grind & rust preventive oil
4005004200,,CROSSHEAD LINK - 90 TON (PATTERN),,,CROSSHEAD LINK - 90 TON (PATTERN) (CASTING/RAW MATERIAL),1,MCH,VMC Heavy Face Milling & Edge Truing,2,VEN0000002,Apex Precision VMC Machinists,Rough & finish top/bottom platen face to 0.02mm flat
4005004200,,CROSSHEAD LINK - 90 TON (PATTERN),,,CROSSHEAD LINK - 90 TON (PATTERN) (CASTING/RAW MATERIAL),2,BOR,Precision CNC Boring (Tie Bar & Bush Bores),3,VEN0000002,Apex Precision VMC Machinists,Bore 4x Tie bar holes to H7 tolerance
4005004200,,CROSSHEAD LINK - 90 TON (PATTERN),,,CROSSHEAD LINK - 90 TON (PATTERN) (CASTING/RAW MATERIAL),3,DRL,CNC Drilling & Tapping (PCD Clamp Holes),1,VEN0000002,Apex Precision VMC Machinists,M16 mould clamp tapped holes as per drawing
4005004200,,CROSSHEAD LINK - 90 TON (PATTERN),,,CROSSHEAD LINK - 90 TON (PATTERN) (CASTING/RAW MATERIAL),4,HT,Stress Relieving & Normalizing Heat Treatment,2,VEN0000004,Gujarat Heat Treaters & Nitriding,Normalize thermal stress at 550°C
4005004200,,CROSSHEAD LINK - 90 TON (PATTERN),,,CROSSHEAD LINK - 90 TON (PATTERN) (CASTING/RAW MATERIAL),5,GRD,Cylindrical & Precision Surface Grinding,1,VEN0000006,Sardar Cylindrical & Surface Grinding,Precision surface grind & rust preventive oil
4005004800,,BINARY LINK - 90 TON (PATTERN),4001004800,11205,BINARY LINK - 90 TON (CASTING),1,MCH,VMC Heavy Face Milling & Edge Truing,2,VEN0000002,Apex Precision VMC Machinists,Rough & finish top/bottom platen face to 0.02mm flat
4005004800,,BINARY LINK - 90 TON (PATTERN),4001004800,11205,BINARY LINK - 90 TON (CASTING),2,BOR,Precision CNC Boring (Tie Bar & Bush Bores),3,VEN0000002,Apex Precision VMC Machinists,Bore 4x Tie bar holes to H7 tolerance
4005004800,,BINARY LINK - 90 TON (PATTERN),4001004800,11205,BINARY LINK - 90 TON (CASTING),3,DRL,CNC Drilling & Tapping (PCD Clamp Holes),1,VEN0000002,Apex Precision VMC Machinists,M16 mould clamp tapped holes as per drawing
4005004800,,BINARY LINK - 90 TON (PATTERN),4001004800,11205,BINARY LINK - 90 TON (CASTING),4,HT,Stress Relieving & Normalizing Heat Treatment,2,VEN0000004,Gujarat Heat Treaters & Nitriding,Normalize thermal stress at 550°C
4005004800,,BINARY LINK - 90 TON (PATTERN),4001004800,11205,BINARY LINK - 90 TON (CASTING),5,GRD,Cylindrical & Precision Surface Grinding,1,VEN0000006,Sardar Cylindrical & Surface Grinding,Precision surface grind & rust preventive oil
4005005400,,TERNARY LINK - 90 TON (PATTERN),4001005400,11206,TERNARY LINK - 90 TON (CASTING),1,MCH,VMC Heavy Face Milling & Edge Truing,2,VEN0000002,Apex Precision VMC Machinists,Rough & finish top/bottom platen face to 0.02mm flat
4005005400,,TERNARY LINK - 90 TON (PATTERN),4001005400,11206,TERNARY LINK - 90 TON (CASTING),2,BOR,Precision CNC Boring (Tie Bar & Bush Bores),3,VEN0000002,Apex Precision VMC Machinists,Bore 4x Tie bar holes to H7 tolerance
4005005400,,TERNARY LINK - 90 TON (PATTERN),4001005400,11206,TERNARY LINK - 90 TON (CASTING),3,DRL,CNC Drilling & Tapping (PCD Clamp Holes),1,VEN0000002,Apex Precision VMC Machinists,M16 mould clamp tapped holes as per drawing
4005005400,,TERNARY LINK - 90 TON (PATTERN),4001005400,11206,TERNARY LINK - 90 TON (CASTING),4,HT,Stress Relieving & Normalizing Heat Treatment,2,VEN0000004,Gujarat Heat Treaters & Nitriding,Normalize thermal stress at 550°C
4005005400,,TERNARY LINK - 90 TON (PATTERN),4001005400,11206,TERNARY LINK - 90 TON (CASTING),5,GRD,Cylindrical & Precision Surface Grinding,1,VEN0000006,Sardar Cylindrical & Surface Grinding,Precision surface grind & rust preventive oil
